,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ACCENT - AC,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CYMBOL - CY,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CLOSED HAT - CH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OPEN HAT - OH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
HIGH TOM - HT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
MIDDLE TOM - MT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SNARE DRUM - SD,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RIM SHOT - RS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOW TOM - LT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CLAPS - CPS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
COW BELL - CB,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
BASS DRUM - BD,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
