,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ACCENT - AC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
CYMBOL - CY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
CLOSED HAT - CH,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,O
OPEN HAT - OH,X,O,X,O,X,O,X,O,X,O,X,O,X,O,X,O
HIGH TOM - HT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
MIDDLE TOM - MT,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O
SNARE DRUM - SD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
RIM SHOT - RS,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O
LOW TOM - LT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O
CLAPS - CPS,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
COW BELL - CB,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
BASS DRUM - BD,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O
