,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ACCENT - AC,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X
CYMBOL - CY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
CLOSED HAT - CH,O,O,X,O,O,O,X,O,O,O,X,O,O,O,X,O
OPEN HAT - OH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
HIGH TOM - HT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
MIDDLE TOM - MT,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O
SNARE DRUM - SD,O,O,X,X,O,X,X,O,O,O,O,O,O,O,O,O
RIM SHOT - RS,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
LOW TOM - LT,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X
CLAPS - CPS,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
COW BELL - CB,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
BASS DRUM - BD,X,O,O,O,X,O,O,O,X,O,O,O,X,O,O,O
